name,Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3,,WithinTop3 (Precision),SequenceMatch
25_Events_result,1,71.653131057379,100,0.84,,,,,,,,100,0.84
25_Events_result,10,18.9516295675907,50,0.42,59.687741756345,73.3333333333333,0.75,100,100,0.9,,100,0.9
25_Events_result,7,80.7055727492798,90.9090909090909,0.65,80.7055727492798,90.9090909090909,0.56,100,100,0.87,,100,0.87
25_Events_result,2,88.0111736793393,90,0.64,88.0111736793393,90,0.7,,,,,90,0.7
25_Events_result,2,100,100,0.82,100,100,0.82,,,,,100,0.82
25_Events_result,8,2.44559393724036,6.25,0.08,5.52239778353947,12.5,0.13,4.7677070204571,11.1111111111111,0.1,,12.5,0.13
25_Events_result,1,80.9106711570221,85.7142857142857,0.85,,,,,,,,85.7142857142857,0.85
25_Events_result,8,1.38781927786159,3.7037037037037,0.04,0.584485591891149,1.61290322580645,0.01,1.57329348111453,4.16666666666667,0.04,,4.16666666666667,0.04
25_Events_result,1,66.8740304976422,80,0.84,,,,,,,,80,0.84
25_Events_result,8,3.38649856834454,8.33333333333333,0.14,3.38649856834454,8.33333333333333,0.14,0,0,0.2,,8.33333333333333,0.2
25_Events_result,1,0,66.6666666666667,0.8,,,,,,,,66.6666666666667,0.8
25_Events_result,8,10.6821751599058,20,0.35,0.996419481246063,2.7027027027027,0.04,1.57329348111453,4.16666666666667,0.04,,20,0.35
25_Events_result,1,0,33.3333333333333,0.4,,,,,,,,33.3333333333333,0.4
25_Events_result,1,0,0,0.02,,,,,,,,0,0.02
25_Events_result,1,10.6821751599058,20,0.32,,,,,,,,20,0.32
12_DrawLine_result,11,0.904451212328588,4.16666666666667,0.07,0.706760440530684,3.27868852459016,0.05,0.614991742492461,1.69491525423729,0.06,,4.16666666666667,0.07
12_DrawLine_result,7,0,50,0.42,3.74777673667792,9.09090909090909,0.29,2.44559393724036,6.25,0.17,,50,0.42
12_DrawLine_result,2,0,0,0.25,0,33.3333333333333,0.26,,,,,33.3333333333333,0.26
12_DrawLine_result,2,0,0,0.2,0,50,0.73,,,,,50,0.73
12_DrawLine_result,8,0,0,0.19,0,0,0.2,0,0,0.57,,0,0.57
12_DrawLine_result,1,0.165764148658483,80,0.31,,,,,,,,80,0.31
12_DrawLine_result,11,42.7287006396234,80,0.79,66.8740304976422,80,0.88,66.8740304976422,80,0.88,,80,0.88
12_DrawLine_result,7,100,100,0.93,3.74777673667792,9.09090909090909,0.27,59.4603557501361,75,0.79,,100,0.93
12_DrawLine_result,2,39.7635364383525,60,0.6,0,66.6666666666667,0.8,,,,,66.6666666666667,0.8
12_DrawLine_result,2,0,100,0.91,0,100,0.91,,,,,100,0.91
