name,Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3,,Max Precision,Max Seq Match
temperature_conversion_result,3,0.625880779915379,1.72413793103448,0.05,0.604475187566469,1.66666666666667,0.05,0.548227166638215,1.51515151515152,0.04,,1.72413793103448,0.05
temperature_conversion_result,1,0,0,0.04,,,,,,,,0,0.04
temperature_conversion_result,3,0.637162449956439,1.75438596491228,0.04,0,0,0.29,0.604475187566469,1.66666666666667,0.04,,1.75438596491228,0.29
temperature_conversion_result,1,0.584485591891149,1.61290322580645,0.01,,,,,,,,1.61290322580645,0.01
temperature_conversion_result,35,0.637162449956439,1.75438596491228,0.04,3.38649856834454,8.33333333333333,0.26,0,0,0.12,,8.33333333333333,0.26
temperature_conversion_result,11,3.74777673667792,9.09090909090909,0.07,10.6821751599058,20,0.17,15.9735776061568,25,0.33,,25,0.33
temperature_conversion_result,14,15.9735776061568,25,0.18,0,0,0.01,0,0,0,,25,0.18
temperature_conversion_result,1,3.74777673667792,9.09090909090909,0.04,,,,,,,,9.09090909090909,0.04
temperature_conversion_result,35,0.673587810204605,1.85185185185185,0.05,0.548227166638215,1.51515151515152,0.05,0,0,0.1,,1.85185185185185,0.1
temperature_conversion_result,11,0.648858383148183,1.78571428571429,0.01,10.6821751599058,20,0.14,10.6821751599058,20,0.13,,20,0.14
temperature_conversion_result,14,0,0,0.67,0,0,0.27,0,0,0.57,,0,0.67
temperature_conversion_result,1,10.6821751599058,20,0.12,,,,,,,,20,0.12
temperature_conversion_result,35,0.614991742492461,1.69491525423729,0.04,15.9735776061568,25,0.57,0,0,0.05,,25,0.57
temperature_conversion_result,11,0,33.3333333333333,0.33,15.9735776061568,25,0.29,15.9735776061568,25,0.29,,33.3333333333333,0.33
temperature_conversion_result,14,0,0,0.09,0,0,0,0,0,0.09,,0,0.09
temperature_conversion_result,1,15.9735776061568,25,0.18,,,,,,,,25,0.18
temperature_conversion_result,35,0.729169864454126,2,0.08,0,0,0.09,0,0,0.27,,2,0.27
temperature_conversion_result,6,3.48227089986367,12.5,0.07,1.70789131229539,5.35714285714286,0.04,9.65243487740224,33.3333333333333,0.2,,33.3333333333333,0.2
temperature_conversion_result,14,4.19611490629655,10,0.06,0,0,0,0.777275155885321,2.12765957446808,0.01,,10,0.06
temperature_conversion_result,1,15.9735776061568,25,0.4,,,,,,,,25,0.4
temperature_conversion_result,1,2.83983872256779,7.14285714285714,0.06,,,,,,,,7.14285714285714,0.06
temperature_conversion_result,35,0.594312320885389,1.63934426229508,0.07,0,0,0.21,0,0,0.27,,1.63934426229508,0.27
